ROUTE_SORT_ORDER,RIDERSHIP_AVERAGE,YTD_TOTAL_RIDERSHIP_COUNT,QTD_TOTAL_RIDERSHIP_COUNT,PY_QTD_TOTAL_RIDERSHIP_COUNT,PY_YTD_TOTAL_RIDERSHIP_COUNT,PY_RIDERSHIP_AVERAGE,YEAR_NUM,MONTH_NAME,MONTH_SHORT_NAME,MONTH_END_DATE,MONTH_YEAR,DAY_TYPE,MODE_NAME,SUB_MODE,ROUTE_NAME,DATA_AS_OF,SHOW_ON_DASHBOARD,FISCAL_YEAR_NUMBER,FISCAL_MONTH_NUMBER,FISCAL_QUARTER_NUMBER
217,0,0,0,0,0,0,2018,November,11-Nov,20181130,Nov-2018,Weekday,MetroBus,Feeder Routes,217-Montopolis Feeder,07/31/2021,1,2019,2,1
970,0,0,0,0,0,0,2020,August,08-Aug,20200831,Aug-20,Saturday,MetroExpress,MetroExpress,970-Lantana Express,07/31/2021,1,2020,11,4
661,0,0,0,0,0,0,2020,January,01-Jan,20200131,Jan-20,Sunday,MetroBus,UT Shuttles,661-Far West/UT,07/31/2021,1,2020,4,2
2,3675.7,3675.7,3675.7,,,,2016,October,10-Oct,20161031,Oct-2016,Saturday,MetroBus,Local Routes,2-Rosewood,07/31/2021,1,2017,1,1
671,0,184,0,0,441.99211,0,2020,September,09-Sep,20200930,Sep-20,Saturday,MetroBus,UT Shuttles,671-North Riverside,07/31/2021,1,2020,12,4
19,7268.338,7268.338,7268.338,19786.93933,19786.93933,19786.93933,2020,October,10-Oct,20201031,Oct-20,Weekday,MetroBus,Local Routes,19-Bull Creek,07/31/2021,1,2021,1,1
451,0,0,0,,,,2016,December,12-Dec,20161231,Dec-2016,Sunday,MetroBus,Special Service Routes,451-Plaza Saltillo Shuttle,07/31/2021,1,2017,3,1
656,0,1109.7959,278.73584,,,,2017,September,09-Sep,20170930,Sep-2017,Saturday,MetroBus,UT Shuttles,656-Intramural Fields/UT,07/31/2021,1,2017,12,4
681,138.99999,2237.73948,630.06244,751.98957,2364.51033,177.33332,2018,June,06-Jun,20180630,Jun-2018,Sunday,MetroBus,UT Shuttles,681-Intramural/Far West,07/31/2021,1,2018,9,3
228,354,5241.79865,354,544,4832.99995,544,2020,April,04-Apr,20200430,Apr-20,Saturday,MetroBus,Feeder Routes,228-VA Clinic,07/31/2021,1,2020,7,3
481,710,4009.8026,1438.0526,1858.55417,4864.88479,830.33332,2019,February,02-Feb,20190228,Feb-2019,Saturday,MetroBus,Special Service Routes,481-Night Owl North Lamar,07/31/2021,1,2019,5,2
450,0,0,0,,,,2016,October,10-Oct,20161031,Oct-2016,Sunday,MetroBus,Special Service Routes,450-Bus Bridge RATP Dev,07/31/2021,1,2017,1,1
345,0,0,0,,,,2016,November,11-Nov,20161130,Nov-2016,Sunday,MetroBus,Crosstown Routes,345-45TH,07/31/2021,1,2017,2,1
311,4394.33332,34648.78492,4394.33332,3419,48232.84485,3419,2021,April,04-Apr,20210430,Apr-20,Saturday,MetroBus,Crosstown Routes,311-Stassney,07/31/2021,1,2021,7,3
