hours,bike,bike_transit,car,drive_transit,ride_hail,ride_hail_pooled,ride_hail_transit,walk,walk_transit
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
5,170.0,67.66666666666666,32722.5,8957.333333333705,1302.5,0,0,29484.66666666666,11101.333333333363
6,300.5,128.16666666666652,74062.5,18525.33333333097,2945.833333333334,0.3333333333333333,0,70141.49999999776,29531.666666665686
7,605.5,244.83333333333417,165515.6666666668,34795.24999999652,7325.499999999976,14.000000000000007,0,196405.83333337106,67593.83333333409
8,588.25,263.6666666666675,177164.00000000017,31850.249999982123,10460.250000000084,41.166666666666686,0,234456.16666679064,75356.24999998671
9,327.5,133.16666666666643,95515.16666666663,16451.00000000315,8100.166666666654,32.83333333333329,0,128274.58333326773,46853.000000018474
10,305.5,132.4999999999999,95208.66666666663,15128.333333335011,8804.666666666682,24.499999999999982,0,124603.49999996882,37540.83333333764
11,371.5,167.50000000000045,96330.49999999988,15565.500000001504,9405.916666666702,39.08333333333332,0,127037.9999999846,35954.833333335424
12,371.0,158.666666666667,100677.1666666666,16011.16666666817,9446.000000000027,40.66666666666667,0,136757.08333335686,37236.25000000411
13,452.0,189.4166666666673,102095.99999999997,16217.500000001222,9341.083333333352,30.666666666666643,0,142283.66666669023,40449.25000000581
14,403.0,158.666666666667,103822.83333333326,16902.500000000684,9605.000000000016,44.33333333333336,0,144158.91666668718,44062.1666666715
15,439.8333333333333,187.58333333333385,114720.99999999996,20032.41666666484,9717.333333333348,33.083333333333314,0,159655.50000001426,51033.250000004904
16,459.0,204.0833333333337,111251.83333333331,21445.66666666507,8755.333333333336,18.66666666666666,0,157609.66666668246,52132.916666669254
17,494.3333333333333,211.41666666666708,122446.16666666663,25035.666666664794,8524.416666666679,19.333333333333332,0,178667.16666668004,57487.83333333671
18,474.0,203.08333333333377,117835.99999999999,23712.583333331215,8704.16666666667,16.666666666666668,0,182466.50000001455,52204.91666667056
19,323.5,138.16666666666663,74127.83333333333,13422.666666667235,5890.166666666663,12.166666666666671,0,139928.16666668266,33321.08333333157
20,269.0,98.33333333333324,65001.00000000001,10159.000000000415,5088.666666666663,10.500000000000002,0,127817.16666666188,24311.66666666554
21,253.5,106.49999999999991,60980.50000000002,8683.83333333322,4367.666666666658,28.166666666666657,0,121961.33333332949,19367.833333332605
22,127.83333333333333,42.16666666666668,39989.33333333335,4449.333333333364,2463.000000000002,20.83333333333333,0,94105.16666666417,10257.000000000256
23,114.0,44.50000000000001,34297.16666666667,2743.8333333333567,1646.9999999999989,10.333333333333332,0.5,86751.16666666501,6414.333333333209
24,57.0,0,24283.499999999996,0,686.5000000000001,10.500000000000002,0,72399.49999999904,0
25,51.0,0,22146.999999999996,0,221.83333333333337,2.1666666666666665,0,64296.833333333336,0
26,33.0,0,20140.999999999996,0,63.500000000000014,1.9999999999999998,0,58645.33333333334,0
27,36.0,0,18422.5,0,27.166666666666664,0.6666666666666666,0,54369.16666666667,0
28,29.0,0,16906.166666666664,0,26.999999999999993,1.9999999999999998,0,50409.83333333334,0
29,34.0,0,15333.833333333336,0,19.666666666666668,1.6666666666666665,0,45622.833333333336,0
30,0,0,0.5,0,0,0,0,0,0
